x,y,z
609338.10955,267673.316498,-13288.961914
609388.969968,267674.029575,-13290.699219
609338.10955,267673.316498,-13288.961914
609388.969968,267674.029575,-13290.699219
609388.969968,267674.029575,-13290.699219
609439.370501,267675.314185,-13293.755859
609439.370501,267675.314185,-13293.755859
609489.8435,267676.209429,-13297.583984
609489.8435,267676.209429,-13297.583984
609540.394708,267676.695368,-13302.324219
609540.394708,267676.695368,-13302.324219
609590.963303,267676.863651,-13306.567383
609590.963303,267676.863651,-13306.567383
609642.117177,267675.763045,-13310.501953
609334.128908,267729.187201,-13278.040039
609384.995779,267729.992637,-13280.130859
609410.20006,267730.698878,-13281.362305
609435.40434,267731.405119,-13282.59375
609460.639932,267731.914258,-13284.31543
609485.875525,267732.423398,-13286.037109
609511.135111,267732.740091,-13288.040527
609536.394698,267733.056784,-13290.043945
609561.666535,267733.203658,-13291.864746
609586.938373,267733.350532,-13293.685547
609612.510122,267732.813233,-13295.650879
609638.081872,267732.275934,-13297.616211
609334.128908,267729.187201,-13278.040039
609383.166744,267757.706071,-13274.39502
609408.371024,267758.412311,-13275.626465
609433.631952,267759.064895,-13276.877441
609458.867545,267759.574035,-13278.599121
609484.148214,267760.044161,-13280.132324
609509.407801,267760.360854,-13282.135742
609534.703384,267760.651828,-13283.774902
609559.975221,267760.798703,-13285.595703
609585.286351,267760.908829,-13287.226074
609610.858101,267760.371529,-13289.191406
609638.081872,267732.275934,-13297.616211
609638.081872,267732.275934,-13297.616211
609688.740116,267731.771045,-13302.225586
609688.740116,267731.771045,-13302.225586
609739.448334,267730.896532,-13307.146484
609739.448334,267730.896532,-13307.146484
609790.258883,267729.574394,-13313.584961
609790.258883,267729.574394,-13313.584961
609841.114451,267727.925084,-13319.791992
609841.114451,267727.925084,-13319.791992
609892.638018,267724.89884,-13326.144531
609330.861019,267783.760265,-13266.045898
609381.337708,267785.419504,-13268.65918
609406.598636,267786.072087,-13269.910156
609431.859565,267786.724671,-13271.161133
609457.140234,267787.194797,-13272.694336
609482.420904,267787.664924,-13274.227539
609507.716487,267787.955898,-13275.866699
609533.012069,267788.246873,-13277.505859
609558.323199,267788.356999,-13279.13623
609583.634329,267788.467125,-13280.766602
609608.967664,267788.381336,-13282.484375
609634.300998,267788.295546,-13284.202148
609659.663701,267788.005796,-13286.193848
609685.026405,267787.716045,-13288.185547
609710.425903,267787.217747,-13290.790039
609735.825401,267786.719449,-13293.394531
609761.274253,267785.996102,-13296.553223
609786.723106,267785.272755,-13299.711914
609812.208893,267784.354951,-13303.018555
609837.69468,267783.437147,-13306.325195
609863.234861,267782.306473,-13310.254395
609888.775042,267781.175798,-13314.183594
609330.861019,267783.760265,-13266.045898
609379.857852,267812.485973,-13262.480957
609405.11878,267813.138557,-13263.731934
609430.376686,267813.835045,-13264.786621
609455.657355,267814.305172,-13266.319824
609480.921243,267814.841199,-13267.459961
609506.216826,267815.132173,-13269.099121
609531.489177,267815.499557,-13270.357422
609556.800307,267815.609683,-13271.987793
609582.090292,267815.784148,-13273.506836
609607.423626,267815.698359,-13275.224609
609632.740291,267815.664394,-13277.041504
609658.102995,267815.374643,-13279.033203
609683.448116,267815.134259,-13281.227051
609708.847614,267814.635962,-13283.831543
609734.228859,267814.186946,-13286.529297
609759.677712,267813.463598,-13289.687988
609785.102016,267812.796754,-13292.831055
609810.587803,267811.87895,-13296.137695
609836.0551,267810.997964,-13299.62207
609861.595281,267809.86729,-13303.55127
609888.775042,267781.175798,-13314.183594
609888.775042,267781.175798,-13314.183594
609940.023067,267778.418583,-13324.399414
609940.023067,267778.418583,-13324.399414
609991.399973,267775.262329,-13335.683594
609991.399973,267775.262329,-13335.683594
610042.846834,267771.833004,-13346.956055
610042.846834,267771.833004,-13346.956055
610094.396264,267768.102686,-13358.727539
609327.934002,267837.716919,-13254.201172
609378.377996,267839.552443,-13256.302734
609403.635901,267840.248931,-13257.357422
609428.893807,267840.945419,-13258.412109
609454.157695,267841.481447,-13259.552246
609479.421582,267842.017474,-13260.692383
609504.693933,267842.384857,-13261.950684
609529.966284,267842.75224,-13263.208984
609555.25627,267842.926706,-13264.728027
609580.546255,267843.101171,-13266.24707
609605.86292,267843.067207,-13268.063965
609631.179585,267843.033242,-13269.880859
609656.524706,267842.792858,-13272.074707
609681.869826,267842.552474,-13274.268555
609707.251072,267842.103458,-13276.966309
609732.632318,267841.654442,-13279.664063
609758.056622,267840.987598,-13282.807129
609783.480926,267840.320753,-13285.950195
609808.948223,267839.439767,-13289.43457
609834.41552,267838.558781,-13292.918945
609859.935323,267837.466218,-13296.932617
609885.455126,267836.373655,-13300.946289
609911.03953,267835.062564,-13305.625977
